Product Title,Product category,Product Price,Product Description,Prime Status,Rating,Product Score,Product Link,Product availability,Image Sources
"Homztown flat bed sheet, single 180x260 cm with 2 pillow cases 50x70cm,white,100% cotton,soft and luxurious",Home & Kitchen,‏46.00 جنيه,"['Made from high quality 100% cotton material for maximum comfort and breathability', ""100% cotton material - This Single Size Soft Cotton Sheet Set is made from 100% pure cotton for a luxurious feel and maximum comfort. The soft cotton fabric ensures that you experience a good night's sleep. Enjoy the superior quality and comfort of these sheets."", ""Single size 180x260cm - This single cotton sheet is perfect for single & queen beds. It's made with soft and breathable fabric that provides comfortable and luxurious sleep. Ideal for a luxurious night's sleep - Single Size Cotton Sheet."", ""Soft and comfort - Get the best night's sleep ever with this flat cotton sheet king size, which offers a cosy and comfortable fit. It's made of breathable cotton fabric that provides superior breathability and comfort. Get ready to experience a blissful slumber with this superior quality cotton sheet!"", ""Luxurious sleeping experinence - Wrap yourself in ultimate comfort with this King Size Soft Cotton Sheet. It's crafted from ultra-soft fabric for ultimate breathability and softness. Feel the difference as you sink into your bed, the perfect way to relax and drift off to sleep!"", 'Machine washable - Enjoy a hassle-free laundry day with this soft and cozy flat cotton bed sheet. It is designed to be safe in the washing machine, making it easy to keep your single size sheet looking fresh and feeling its best.']",Not Prime,3.9 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B0C1KHKTTY,Only 2 left in stock - order soon.,"['https://m.media-amazon.com/images/I/31KuNEuuI5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/21Mqn3tIdDL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41vdERSBTgL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41Ji85XzqyL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/61JFUxg39BL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"Homztown flat bed sheet, single 180x260 cm with 2 pillow cases 50x70cm, baby blue,100% cotton, soft and luxurious",Home & Kitchen,‏46.00 جنيه,"['Made from high quality 100% cotton material for maximum comfort and breathability', ""100% cotton material - This Single Size Soft Cotton Sheet Set is made from 100% pure cotton for a luxurious feel and maximum comfort. The soft cotton fabric ensures that you experience a good night's sleep. Enjoy the superior quality and comfort of these sheets."", ""Single size 180x260cm - This single cotton sheet is perfect for single & queen beds. It's made with soft and breathable fabric that provides comfortable and luxurious sleep. Ideal for a luxurious night's sleep - Single Size Cotton Sheet."", ""Soft and comfort - Get the best night's sleep ever with this flat cotton sheet king size, which offers a cosy and comfortable fit. It's made of breathable cotton fabric that provides superior breathability and comfort. Get ready to experience a blissful slumber with this superior quality cotton sheet!"", ""Luxurious sleeping experinence - Wrap yourself in ultimate comfort with this King Size Soft Cotton Sheet. It's crafted from ultra-soft fabric for ultimate breathability and softness. Feel the difference as you sink into your bed, the perfect way to relax and drift off to sleep!"", 'Machine washable - Enjoy a hassle-free laundry day with this soft and cozy flat cotton bed sheet. It is designed to be safe in the washing machine, making it easy to keep your single size sheet looking fresh and feeling its best.']",Not Prime,3.9 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B0C1KMTVYL,Only 2 left in stock - order soon.,"['https://m.media-amazon.com/images/I/31lN-8P-TbL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/21Uww1JHmSL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51WQjbBt7aL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51Pu-y9FHUL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/71+KVJQlTTL._AC_SY300_SX300_.jpg']"
"Homztown flat bed sheet, king 240x260cm with 2 pillow cases 50x70cm,beige,100% cotton,soft and luxurious",Home & Kitchen,‏46.00 جنيه,"['Made from high quality 100% cotton material for maximum comfort and breathability', ""100% cotton material - This King Size Soft Cotton Sheet Set is made from 100% pure cotton for a luxurious feel and maximum comfort. The soft cotton fabric ensures that you experience a good night's sleep. Enjoy the superior quality and comfort of these sheets."", ""King size 240x260cm - This extra-large cotton sheet is perfect for king beds. It's made with soft and breathable fabric that provides comfortable and luxurious sleep. Ideal for a luxurious night's sleep - King Size Cotton Sheet."", ""Soft and comfort - Get the best night's sleep ever with this flat cotton sheet king size, which offers a cosy and comfortable fit. It's made of breathable cotton fabric that provides superior breathability and comfort. Get ready to experience a blissful slumber with this superior quality cotton sheet!"", ""Luxurious sleeping experinence - Wrap yourself in ultimate comfort with this King Size Soft Cotton Sheet. It's crafted from ultra-soft fabric for ultimate breathability and softness. Feel the difference as you sink into your bed, the perfect way to relax and drift off to sleep!"", 'Machine washable - Enjoy a hassle-free laundry day with this soft and cozy flat cotton bed sheet. It is designed to be safe in the washing machine, making it easy to keep your king size sheet looking fresh and feeling its best.']",Not Prime,3.9 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B0C1HC6QSH,Only 1 left in stock - order soon.,"['https://m.media-amazon.com/images/I/31wkRYwc69L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/21x1bMbosBL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41Oih1PAioL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41EZw3ey2IL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/61KFzm85v9L.__AC_SX300_SY300_QL70_ML2_.jpg']"
"JOHNSON’S Baby Shampoo, 200ml",Baby Products,‏46.00 جنيه,"['Made with NO MORE TEARS formula that is gentle to the eyes as pure water', 'Free from Dyes, Parabens, Phthalates, Sulphates, and Alcohol', 'Gently cleanses fine hair and delicate scalp', 'Leaves hair soft, shiny and manageable and feeling healthy', 'Hypoallergenic & pH balanced', 'Paediatrician and dermatologist-tested']",Not Prime,4.2 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B08WJSC72R,In Stock,"['https://m.media-amazon.com/images/I/41insI+wGhL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41ILJD9kkpL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51xM3sLscYL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41HIWSRAmSL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41NXv1ujlML._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41a8FXgBv7L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/81McgYdZn0L.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/61ygThIrClL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"JOHNSON’S Baby Oil, 200ml",Baby Products,‏75.00 جنيه,"['Clinically proven mildness formula', 'Free from dyes, parabens, phthalates, and alcohol', 'Locks in 10x more moisture on wet skin than lotion can on dry skin', 'Protects delicate skin from dryness', 'Ideal for baby massage', 'Hypoallergenic', 'Paediatrician and dermatologist-tested']",Not Prime,4.6 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B07F3M8CZ2,In Stock,"['https://m.media-amazon.com/images/I/31NLkA0F+BL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41OjZvDX7OL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51NE0beuTYL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41u-txIlsjL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41GHQRYld8L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41sajj+6fzL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/A1X5mIt0auL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/61I-QS6jqkL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"JOHNSON’S Baby Bath, 200ml",Baby Products,‏42.00 جنيه,"['Made with NO MORE TEARS formula that is gentle to the eyes as pure water', 'Free from Dyes, Parabens, Phthalates, Sulphates, and Alcohol', 'Our mildest formula to gently cleanse delicate skin without drying', 'Pure and gentle daily care', 'Hypoallergenic & pH balanced', 'Paediatrician and dermatologist-tested']",Not Prime,4.6 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B089D3BWC5,In Stock,"['https://m.media-amazon.com/images/I/319bax70B6L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41VzWyT+jsL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51nxbT6pFmL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41lq1FawfsL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41Q5RDefSLL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41n-xMc0r-L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/71RXLxYrSiL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/610eJOd9N4L.__AC_SX300_SY300_QL70_ML2_.jpg']"
Asalvo EASY FIX FOLDABLE CAR SEAT ISOFIX GROUP 2/3 - GREY,,"‏4,499.00 جنيه",About this item section not found.,Amazon Prime,Previous page,Score Not Found,https://amazon.eg/-/en/dp/B09YYHHB1W,Only 4 left in stock - order soon.,"['https://m.media-amazon.com/images/I/412siOJyVSL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/61PunVd8zWL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"Baby gym play mat, kick and play piano tummy time gym mat, musical piano activity playmat for baby girl & boy 0 to 3 6 9 12 months, baby floor mat activity center for newborn infant toddler (orange)",Baby Products,‏399.00 جنيه,"['Perfect Baby Activity Gym: Get your baby excited to play with TOY Life play mat activity gym! Our tummy time mat for babies 0-36 months comes with 4 animal-shaped hanging rattles, a removable piano keyboard, soft and comfortable mat. Also, babies can have fun peeking into the mirror! Kick and play piano gym can help keep your little one become more active while also giving them various ways to build up their muscles and cognitive functions.', ""Cute Early Musical Educational Toys: Babies can play their first little melodies using the attached pedal piano keyboard. Your baby will enjoy this wonderful melody by kicking the key on the keyboards. Multiple music modes, emit a variety of music suitable for the baby and exercise the baby's music sensitivity. Rhythmic tapping or playing training develops the baby’s sense of music and hearing sensitivity."", 'Great For Range of Ages Baby: This piano playmat gym for infants is not only great for tummy time, but also keeps up with their growing babies. Suitable for a wide range of ages and development stages, Your 0-6 months baby can either lie on mat and play with hanging toys from the arch, or enjoy tummy time and explore the colorful mat when they are 9+ months.', 'AFE & Baby-friendly Activity Mat: Everything about this activity mat is meant to be just right for infants. The mat is comfy but not too padded, and the hanging rattles and piano with smooth edges are made of non-toxic materials that are safe for baby. Overall, our play mat is relatively easy to store-you simply fold the play mat in half and it’s ready to stow away. It is washable, easy to clean and keep hygienic.', 'The Ideal Gift: If you are looking for a baby shower gift, birthday gifts or a present for a new parent, look no farther! You are backed by our 100% satisfaction guarantee - either you love this baby gyms & playmats for boys and girls, or we wil give you a full refund.']",Not Prime,3.2 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B0B9CKTHD1,Only 1 left in stock - order soon.,"['https://m.media-amazon.com/images/I/51L+PCKYKTL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41nvUW6YMsL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51EyxoBMR5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/61SJhqbnHkL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/61ShEMgES-L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/61+Rx77mWKL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/518SFvOCTDL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/61VBg5UbiJL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"Fine Baby Diapers, Size 4, Large, 7-14 kg, 80 Diaper",Baby Products,‏299.00 جنيه,"['The new & improved Fine Baby provides your baby with longer-lasting dryness, all while helping you save more!', 'Thanks to its double lock technology, stretchy sides, leak barriers and super absorbent gel core, it helps prevent leakages so that your baby is comfortable throughout the day and night', 'It’s enriched with chamomile lotion and has a breathable back sheet that ensures maximal cottony softness to keep your baby’s skin healthy.', 'It is the only diaper in the world recommended by the Medical Wellness Association.', 'Packaging May Vary']",Not Prime,4.3 out of 5 stars,300+ bought in past month,https://amazon.eg/-/en/dp/B0BH54DRZP,In Stock,"['https://m.media-amazon.com/images/I/517RqVLATfL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51lt8k0GtBL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51op9s1X-BL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/514qrVyxazL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51a2iBbnR5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51fhY5JuJoL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/61iq45X90nL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/71enXeHsKyL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"ALMEKAQUZ Baby Nail Trimmer Electrically safe Baby nail clippers, Newborn and Kids Nail Kit, also available for adults (blue)",Baby Products,‏150.00 جنيه,About this item section not found.,Not Prime,3.9 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B0B12CL6C3,Only 1 left in stock - order soon.,"['https://m.media-amazon.com/images/I/416PuZHYEAL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/414WFPzJuhL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41Edn74dwfL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51D47XwCCuS._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51lQAUm84wL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41v0iBmoMxL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41rnqI6IOiL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/61bKYGp2SOL.__AC_SY300_SX300_QL70_ML2_.jpg']"
